name	taxRank	genomeSize	numReads	numUniqueReads	abundance
Homo sapiens	species	3238442024	52628697	24461235	0.0241069
synthetic construct	species	26537524	1751082	434769	0.220173
Salmonella enterica subsp. enterica serovar Typhimurium	leaf	64608362	3098	2280	0
Alteromonas mediterranea U8	leaf	4395035	1743	1264	0
Human herpesvirus 4 type 2	leaf	172764	538	538	0.333268
Streptomyces reticuli	species	9336224	460	346	0
Bacillus weihenstephanensis	species	5872743	382	0	0
Rhodococcus sp. 008	species	7438324	210	57	0
Delftia acidovorans SPH-1	leaf	6767514	150	49	0
Rhodococcus erythropolis	species	6691155	141	0	0
Delftia sp. Cs1-4	species	6685842	133	30	0
Delftia tsuruhatensis	species	7195716	108	27	0
Rhodococcus erythropolis R138	leaf	6806506	89	0	0
Propionibacterium acnes	species	2515790	87	69	0
Moraxella osloensis	species	2649137	80	80	0
Corynebacterium sp. NML98-0116	species	2365449	77	49	0
Rhodococcus erythropolis PR4	leaf	6895538	64	0	0
Rhodococcus erythropolis CCM2595	leaf	6371421	64	0	0
Brevundimonas sp. GW460-12-10-14-LB2	species	3263775	57	55	0
Streptococcus salivarius	species	2213879	54	0	0
Prevotella melaninogenica ATCC 25845	leaf	3168282	52	36	0
Pseudomonas alcaligenes	species	4406305	48	0	0
Micrococcus luteus NCTC 2665	leaf	2501097	47	47	0
Ensifer adhaerens	species	7267502	44	1	0
Rhodococcus	genus	7101773	43	29	0
Paracoccus aminophilus JCM 7686	leaf	4873118	39	0	0
Lentzea sp. DHS C013	species	9997872	39	1	0
Alloactinosynnema sp. L-07	species	7405112	38	0	0
Paracoccus denitrificans PD1222	leaf	5236194	37	0	0
Sinorhizobium medicae WSM419	leaf	6817576	36	22	0
Corynebacterium aurimucosum ATCC 700975	leaf	2819226	36	36	0
Mitsuaria sp. 7	species	6085092	36	0	0
Bosea sp. PAMC 26642	species	5510355	36	33	0
Corynebacterium camporealensis	species	2451810	35	7	0
Human endogenous retrovirus K113	leaf	9472	35	0	0
Cyanothece sp. PCC 7424	species	6554169	33	33	0
Corynebacterium ureicelerivorans	species	2328278	32	32	0
Simbu virus	species	12172	31	16	0
Pseudomonas pseudoalcaligenes	species	4686340	30	0	0
